Cluster	Canon-4	Canon-6	Canon-7	Canon-8_4008	Canon-10	Canon-12	Canon-14_3060	Canon-15	Canon-17	Canon-19	Canon-21_3053	Canon-23	Canon-25	Canon-27_3073	Canon-29_4003	Canon-31_3040	Canon-33_2027	Canon-34_2033	Canon-35	Canon-36_2024	Canon-38_1004.combined	Canon-40_3036.combined	Canon-42_2026.combined	Canon-43	Canon-44	Canon-45	Canon-46_4035	Canon-48	Canon-49	Canon-50	Canon-52	Canon-54	Canon-56	Canon-57	Canon-58
Arctic_Cluster_395	133	59	7	84	130	74	57	1	280	2	117	0	3	94	92	15	36	61	80	312	172	203	181	94	115	120	33	167	178	306	155	139	86	94	41
Arctic_Cluster_561	51	20	2	17	21	35	31	2	125	3	30	0	1	53	23	16	11	30	34	125	46	67	85	37	22	62	9	64	63	69	63	44	31	53	17
Arctic_Cluster_145	44	26	4	16	39	32	31	2	118	5	39	1	2	56	34	9	17	31	21	106	40	79	65	20	30	60	11	60	47	47	57	43	29	26	17
Arctic_Cluster_421	33	16	3	11	25	18	21	3	78	1	20	1	1	33	17	3	14	28	23	99	42	66	66	30	33	51	9	60	50	39	28	37	24	40	10
Arctic_Cluster_1308	66	38	0	15	34	22	43	2	114	3	12	0	0	28	8	4	16	28	14	66	13	19	25	21	11	51	6	25	11	32	23	50	65	48	7
Arctic_Cluster_2062	32	19	2	7	10	16	18	0	79	1	23	1	0	24	14	2	4	14	6	52	21	36	41	24	22	32	5	36	28	51	30	48	16	32	8
Arctic_Cluster_1064	39	22	1	7	16	16	25	0	77	2	21	0	0	23	6	7	11	27	15	86	14	33	33	12	24	33	9	32	19	33	34	28	23	19	5
Arctic_Cluster_310	21	7	1	5	4	11	10	0	46	0	10	0	1	15	5	3	10	10	8	70	14	22	36	25	22	52	9	44	39	30	45	46	40	37	9
Arctic_Cluster_1570	13	11	1	0	4	9	10	0	38	0	5	0	2	14	10	3	6	15	10	76	5	23	60	50	20	38	11	49	22	25	24	40	23	30	7
Arctic_Cluster_57	33	18	1	5	13	17	9	1	55	1	15	5	1	12	7	1	2	12	15	20	26	41	41	9	24	34	2	27	32	15	25	27	22	13	7
